,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links
643,Engineering Change Analyst,Bartech Staffing,"Wyoming, MI",Be among the first 25 applicants,1 day ago,"Function as center of expertise (COE) for change management systems for document and data control. Drive robust adherence to issue identification, resolution and demonstration throughout the Plant Floor Change Management (PFCM) and Temporary Deviation Request (TDR) process.",Mid-Senior level,Full-time,Management,Manufacturing,https://www.linkedin.com/jobs/view/engineering-change-analyst-at-bartech-staffing-1888127594?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=19&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
644,Data Engineer,ESP IT,"Minnesota, United States",,3 weeks ago,"The Senior Data Engineer will work as part of a Scrum team to deliver high quality software solutions using technologies that span .NET, AWS, and modern data environments. The position will require cutting-edge technical skills, a desire to participate actively in an Agile learning environment, and a commitment to personal performance.

Specific responsibilities include:

• Develop and enhance high quality, performant, maintainable software solutions that meet commercial business requirements and conform to high technical standards, delighting both external and internal customers
o Produce database designs (logical and physical) of both warehouse and transactional systems
o Implement DB designs in heterogenous data environments, including Microsoft SQL Server, Snowflake, MySQL, AWS technologies, and other database products, with extensive use of SQL programming (stored procedures, functions, query optimization)
o Design and implement data integration packages, including the ability to develop ETL processes to synchronize data across transactional and data warehouse repositories
o Design and implement services exposing data and related business functions to internal and external applications, using .NET (C#), Python, and AWS (lambdas, S3, SNS, SQS, etc.) technologies
o Design and implement integrations with Machine Learning / Data Modeling systems, including DataRobot



PROFESSIONAL EXPERIENCE / QUALIFICATIONS
Qualified candidates will have the following qualifications and skills:

• Bachelor’s degree in Computer Science/Electrical Engineering/Information Systems or related discipline desired
• 12 years of software development experience including a minimum of 8 years of experience with SQL and .NET(C#) and/or Python technologies
• Minimum of 4 years of experience with database design across a heterogenous environment (Data Warehouse and OLTP)
• Experience with ETL processing using either a common toolset (ex: SSIS, Talend Open Studio, Pentaho Data Integration, JasperETL) or hand-developed solutions

Ideal candidates will have some combination of the following qualifications and skills:

• Experience working in an Amazon Web Services (AWS) environment
• Experience working with large sets of data using columnar database solutions like Snowflake, AWS RedShift or a similar solution
• Experience working with Machine Learning solutions like DataRobot, H20.ai, or a similar solution",Mid-Senior level,Full-time,Analyst,Information Technology,https://www.linkedin.com/jobs/view/data-engineer-at-esp-it-1862212316?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=20&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
645,"Data Science Engineering, Machine Learning",Salesforce,"San Francisco, CA",,4 days ago,"When applying internally, please keep your search tailored and consider applying for a maximum of 3 roles at any given time to ensure you are not duplicating efforts.
Job Category
Products and Technology




Teams include: Analytics, Commerce, Einstein, IoT, Mulesoft (Integration Cloud), Search Relevance, Security, Service, Service Protection team, Marketing Cloud
Location: US (Relocation candidates)



Salesforce is looking for an exceptional engineer ideally with a dual background in machine learning and software engineering to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on cutting-edge AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
















Salesforce, the Customer Success Platform and world's #1 CRM, empowers companies to connect with their customers in a whole new way. The company was founded on three disruptive ideas: a new technology model in cloud computing, a pay-as-you-go business model, and a new integrated corporate philanthropy model. These founding principles have taken our company to great heights, including being named one of Forbes’s “World’s Most Innovative Company” seven years in a row and #1 on the FORTUNE ‘100 Best Companies to Work For®’ List. We are the fastest growing of the top 10 enterprise software companies, and this level of growth equals incredible opportunities to grow a career at Salesforce. Together, with our whole Ohana (Hawaiian for “family”) made up of our employees, customers, partners and communities, we are working to improve the state of the world.

If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form.

At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.

and are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. and do not accept unsolicited headhunter and agency resumes. and will not pay any third-party agency or company that does not have a signed agreement with or Salesforce.org.

Salesforce welcomes all.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.",Not Applicable,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-science-engineering-machine-learning-at-salesforce-1875621962?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=21&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
646,Data Analytics Senior Analyst,Joulé,"Leesburg, VA",Be among the first 25 applicants,3 days ago,"Title: Data Analytics Senior Analyst

Location: Leesburg, VA

Start date: ASAP







Joule, a System One division is a leader in specialized workforce solutions and integrated services. With more than 6,000 employees and roughly 50 offices throughout the U.S. we provide scientific, clinical, engineering, energy, IT, legal and administrative staffing services. For more than 40 years, we have delivered workforce solutions and integrated services to clients nationally.",Associate,Full-time,Other,Food Production,https://www.linkedin.com/jobs/view/data-analytics-senior-analyst-at-joul%C3%A9-1909382135?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=22&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
647,Data Engineering Manager,Tracer,"New York, NY",Be among the first 25 applicants,2 weeks ago,"Tracer is a data platform built to maximize marketing efficiency. Our technology was born from the challenges facing today's marketers. By aggregating cross-platform data and adding business context, we provide transparency into the performance of media investments. Tracer has a proven track record of consistently empowering better decisions and solving data challenges for some of the world's biggest brands.",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-engineering-manager-at-tracer-1893848127?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=23&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
648,Director of Data Engineering,Frank Recruitment Group,"New York, NY",Be among the first 25 applicants,1 month ago,"I am running an executive search for one of our key clients in the Los Angeles area, and they are seeking a candidate to enter a director level position. They are looking for someone with an extremely strong background in Data Engineering and someone with a successful track record and years-worth of leadership within digital transformation and analytics.







If this sounds like an opportunity you would be interested in I would love to go over more details of my client with you.",Director,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/director-of-data-engineering-at-frank-recruitment-group-1860323975?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=24&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
649,Manager of Software Infrastucture and Engineering,Arch Staffing & Consulting,Greater Seattle Area,Be among the first 25 applicants,2 weeks ago,"Join a team in the midst of an organizational transformation!  We are looking for an IT Manager to support the advancement of implementation and design in architecture at the software layer for enterprise communications, service bus, containers etc.  Lead the current on-premise physical platform layer to work across cloud environments and set up a data warehouse in the cloud.",Director,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/manager-of-software-infrastucture-and-engineering-at-arch-staffing-consulting-1878189043?refId=43e1ceb6-23cc-4b76-8170-985eb826ccff&position=25&pageNum=25&trk=public_jobs_job-result-card_result-card_full-click
650,Data Engineer,Synechron,"Chicago, IL",Over 200 applicants,3 weeks ago,"Job Description:

This project can be seen as ""foundational"" to understand our customer’s experience and journey and how analytics gathered from this experience can be used to make informed decisions about Marketing spend, campaigns, client journey, new client acquisition, web site organization, web site page recommendation etc. The role involves the below listed marketing datasets that need to be extracted from respective system and transferred to EDH. The datasets are",Mid-Senior level,Full-time,Information Technology,Design,https://www.linkedin.com/jobs/view/data-engineer-at-synechron-1875895744?refId=7e568782-ba53-460d-b022-617b5c632b76&position=1&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
651,Data Engineer,Coda,"San Francisco, CA",Over 200 applicants,8 months ago,"As a Data Engineer at Coda, you'll be part of a fast-growing startup, and will be responsible for building data pipelines, warehousing infrastructure, user profile service, experimental infrastructure, and otherwise enable our analytical capabilities. Your work will unlock insights enabling our team to execute with speed and confidence. Your systems, like the user profile service, allow us to tailor the product experience based on our customers' needs and behaviors. With your background in data processing, warehousing and ML you'll partner with our existing Data Science team to evolve the data processing and experimentation platform that drives our business insights. If you are data curious, excited about designing data systems and tools that have tangible impacts on our business and product, we'd love to hear from you!

You will report to our Growth Engineering Manager.








This role can work from San Francisco, Mountain View, or Bellevue.",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-coda-1566215181?refId=7e568782-ba53-460d-b022-617b5c632b76&position=2&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
652,Data Scientist Position,Innovizo,"Arlington, VA",Be among the first 25 applicants,4 weeks ago,"2+ years professional experience as a data scientist using advanced data analytics techniques, including data mining, machine learning, statistical analysis, and Natural Language Processing.

Master’s Degree in a quantitative discipline such as Applied Statistics, Mathematics, Computer Science, Engineering, Physics, or equivalent.

2+ years experience using tools such as R and Python for data analytics with large data sets including structured and unstructured. Prior work on projects involving data gathering, data cleaning, data munging, and data visualization

Knowledge of Machine learning in theory and in practice. Experience working with machine learning models from development through testing, validation, and production

Strong statistical expertise; demonstrated experience with hands-on statistical modeling (such as regression modeling, a/b testing, significance testing etc),

Excellent interpersonal and communication skills — you will be working with colleagues in the U.S. and our Engineering Office in Ukraine. Ability to explain the process and analysis results to both technical and non-technical audiences.






Remote position with flexible work hours. You can work from just about anywhere.
Competitive compensation based on work experience with potential for bonuses based on results. Exposure to a variety of interesting analytical projects. The opportunity to join a rapidly growing company with career progression and opportunities.



As a Data Scientists for Innovizo, you will have the opportunity to work on a variety of analytical projects to solve real world problems. These may include predictive analytics, machine learning, natural language processing, and data visualization. You will work as part of a team with other talented data scientists, engineers, and business strategists to help Innovizo clients with their analytics needs. Our clients include innovative companies in high tech, software, and retail. A sample of responsibilities may include:

To apply for this position, please send your resume and cover letter to click apply",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-position-at-innovizo-1912088676?refId=7e568782-ba53-460d-b022-617b5c632b76&position=3&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
653,Data Science Engineer,EITACIES INC,"Sunnyvale, CA",Be among the first 25 applicants,4 weeks ago,"Position: Data Science Engineer

Location: Sunnyvale, CA

Duration: 6+ Months








4701 Patrick Henry Dr BLG23 Santa Clara, CA 95054",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-science-engineer-at-eitacies-inc-1912017571?refId=7e568782-ba53-460d-b022-617b5c632b76&position=4&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
654,Data Scientist,"BWX Technologies, Inc.","Lynchburg, VA",Be among the first 25 applicants,1 month ago,"Headquartered in Lynchburg, Va., BWX Technologies, Inc. (NYSE:BWXT) is a leading supplier of nuclear components and fuel to the U.S. government; provides technical and management services to support the U.S. government in the operation of complex facilities and environmental remediation activities; and supplies precision manufactured components, services and fuel for the commercial nuclear power industry. With approximately 6,100 employees, BWXT has nine major operating sites in the U.S. and Canada. In addition, BWXT joint ventures provide management and operations at a dozen U.S. Department of Energy and two NASA facilities. Follow us on Twitter @BWXTech and learn more at www.bwxt.com at http://www.bwxt.com/ .

BWXT is currently seeking a, multi-talented

**Engineering Data Scientist**

to serve as a lead researcher for nuclear product development for its location in Lynchburg, VA.

+



+



A Master's Degree or project experience employing multi-variable, multi-variate regression techniques and machine learning methods is preferred.

The successful candidate with a solid data science foundation and relevant technical background will have the opportunity for continued immersion and data science technique skill refinement.

BWX Technologies, Inc. (BWXT) embraces diversity of thought, values individuality, encourages new perspectives and provides equal opportunity in employment for all qualified employees and applicants without regard to race, color, religion, gender, sexual orientation, age, national origin, disability, veteran status, genetic information, or any other category protected by federal, state, and/or local law.

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-bwx-technologies-inc-1905335290?refId=7e568782-ba53-460d-b022-617b5c632b76&position=5&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
655,Data Engineer,"Glossier, Inc.","New York, NY",,3 months ago,"Overview

We’re hiring an experienced Data Engineer to join our growing BI Engineering team to elevate Glossier as an inviting, fun way to buy beauty products. You’ll join a team with the mission of empowering decision-making across the organization with self-service data, working closely with our Analytics and Data Science teams.

As a Data Engineer, you are responsible for delivering and maintaining highly available computing platforms and creating data integration services. You will own the systems that collect and transform data from a number of sources, storing data in highly optimized data warehouses. You will also maintain ongoing reliability, performance and support of the infrastructure. This includes monitoring the computing environments and providing solutions based on application needs and anticipated growth. A successful candidate will combine strong technical skills, a passion for creative problem solving, and an intense curiosity.

At Glossier we are also mindful of building an inclusive culture, where decisions are made transparently and we support each other's learning and growth. Data is a critical component at Glossier and ensuring consistent, reliable access to our data is a significant strategic priority. We expect you to have good communication skills and collaborate across functions to deliver robust solutions in correspondence with the business needs of the company.















Glossier is a beauty company that lives in NYC, is sold on the internet, and promotes a skincare first philosophy that celebrates beauty in real life.





November 25, 2019

This Global Job Applicant Privacy Policy (“”) describes how Glossier, Inc. and our subsidiaries and affiliates (collectively, “,” “” and/or “”) collect, use, disclose, transfer and store (collectively, “”) personal information about you in connection with our recruitment activities.

While this Policy is intended to describe the broadest range of our processing activities globally, those activities may be more limited in some jurisdictions based on local laws. For example, the laws of a particular country may limit the types of personal information we can collect or the manner in which we use that information. In those instances, we adjust our internal policies and practices to reflect the requirements of local law. The data controller in each case will be the Glossier entity to which the applicant submits his or her application, as specified below.



This Policy does not cover our processing of information collected from you as a Glossier customer or as a visitor to Glossier-affiliated websites. To learn more about Glossier’s data collection practices in these cases, please see our Glossier Privacy Policy.





We collect information in connection with your application to work with us, the categories of personal information we may process about you include

Your decision to apply for a position and provide your personal information to us is voluntary. We will tell you if information is required to move forward with your application.

In certain countries, where permitted by law and on a voluntary basis, we may ask questions about race or ethnicity, veteran status and disabilities for specific purposes, such as to accommodate a disability or illness and to comply with legal obligations relating to diversity and anti-discrimination. You are entirely free to decide whether or not to provide such information and your application will not be affected either way. Except as specifically requested, we ask that you avoid submitting information which may qualify as sensitive information under applicable law, including race, religion, ethnicity, nationality, age, gender identity, sexual life or sexual orientation, medical or health information, genetic or biometric data, political opinions, political party or trade union membership and judicial data such as criminal records.

If you provide us with personal information of a reference or any other individual as part of your application, it is your responsibility to obtain consent from that individual prior to providing such information to us.



Most of the personal data we process is obtained directly from you, such as when you submit a job application or when we conduct a phone or in-person interview. We may also receive information about you from other sources, such as from your named references, persons who referred you for a position, from background checks (if applicable), recruiting agencies, third party recruitment sources and websites and publicly available sources such as your LinkedIn profile.



When you visit our sites, including our Careers webpage, we collect certain information automatically. To collect this information, we may use cookies, web beacons, and similar technologies. A “cookie” is a text file that websites send to a visitor‘s computer or other internet-connected device to uniquely identify the visitor’s browser or to store information or settings in the browser. A “web beacon,” also known as a pixel tag or clear GIF, is used to transmit information back to a web server. We may also collect information about your online activities over time and across third-party websites.

We may associate this information with your Glossier account if you have one, the device you use to connect to our Services, or email or social media accounts that you use to engage with Glossier.

For more information about how we use cookies click here.



We use your personal information to evaluate a potential employment relationship with you and for other business purposes. Such uses include:

If we hire you, information we collect in connection with your application will become part of your employment record and used to manage the onboarding process and for other employment-related purposes in accordance with our internal employee privacy policy.



: We may disclose your personal data to Glossier personnel and affiliates who need to know the information, including personnel in the recruiting, human resources and information technology departments, and in the department responsible for the position for which you are applying.

We may use third party service providers acting on Glossier’s behalf to perform some of the services described above. For example, we share certain information with service providers who facilitate our applicant tracking system, video interviews, travel booking and expenses, reporting and analytics and verification/background checking services. We also may share information about you with recruitment agencies working with us in relation to your recruitment as well as with our professional advisors, including accountants, auditors, lawyers, insurers and bankers. These service providers may change over time, but we will always use trusted service providers who we require to take appropriate security measures to protect your personal information in line with our policies. We only permit them to process your personal information for specified purposes and, as appropriate, in accordance with our instructions and the provisions of this Policy and applicable law.

In certain limited circumstance, we share and/or are obligated to share your personal information with other third parties, including (a) to comply with our obligations, to protect the rights and property of Glossier, our customers and the public, to cooperate with law enforcement investigations, and to detect and respond to suspected illegal activity and threats to the health or safety of any person or of our systems or services; (b) in connection with, or during negotiations of, any merger, joint venture, sale of company assets, financing, or acquisition of all or a portion of our business, assets or stock by another company (including in connection with any bankruptcy or similar proceedings); and/or (c) with your consent and at your direction.

We may also share aggregated or de-identified information, which cannot reasonably be used to identify you.



If your application for employment is unsuccessful (or you withdraw from the process or decline our offer), we will retain your information for a reasonable period of time beyond the end of the application process for the purposes described above, including complying with our legal obligations, resolving disputes and as necessary for our legitimate interests, such as to consider you for other current and future employment opportunities at Glossier. If you do not want us to contact you regarding other roles, please contact recruiting@glossier.com. After this period, we will securely destroy your personal information in accordance with applicable laws and regulations.

If your application for employment is successful, personal information gathered during the recruitment process will be retained during your employment in accordance with our internal employee privacy policy and retention policies.



You may have certain rights under U.S. and international privacy laws in relation to your personal information. This may include the right to access, rectify, port or erase certain personal information we have about you. You may also have the right to object to and restrict certain processing of your data. Certain information may be exempt from such requests pursuant to applicable data protection laws. You can contact privacy@glossier.com to exercise your rights in relation to your personal information. We will respond to your request consistent with applicable law.



If you are a California resident, the California Consumer Privacy Act (“CCPA”) requires us to disclose the following information with respect to our collection and use of personal information.

: Over the preceding 12 months, we have collected the following categories of personal information: (1) identifiers, (2) characteristics of protected classifications under California or U.S. law, (3) internet or other electronic activity information, (4) audio, electronic, visual, thermal, olfactory, or similar information, (5) professional or employment-related information, (6) education information, (7) inferences, and (8) other information that identifies, relates, to, describes, or is otherwise reasonably capable of being associated with you. For examples of the precise data points we collect, please see “Information We Collect” [link] above.

: We collect each category of personal information for the business purposes in the “How We Use Your Information” section above.





We will only use your personal information for the purposes for which we collected it, unless we reasonably consider that we need to use it for another reason and that reason is compatible with the original purpose. If we need to use personal information for an unrelated purpose, we will notify the relevant individual and we will explain the legal basis which allows us to do so. Where the collection or processing of personal information is based on your consent, you may withdraw your consent at any time to the extent permitted by applicable law.



Due to the global nature of our business, Glossier may transfer your personal information across international borders, consistent with applicable data protection laws, including to the U.S., Canada and European Economic Area (“EEA”). Where personal information is transferred within Glossier to countries outside of the EEA that are not recognized as providing an adequate level of protection under European privacy laws, we do so through a series of intercompany agreements that implement the Standard Contractual Clauses authorized under European privacy laws. We also use a variety of safeguards to ensure that your personal information is adequately protected when processed by our third-party service providers operating in the U.S. or another country outside of the EEA including by signing EU standard contractual clauses or verifying the recipient adheres to the EU-U.S. Privacy Shield and Swiss-U.S. Privacy Shield Framework. You may request additional information concerning such safeguards from the Privacy team by contacting privacy@glossier.com.



Glossier is committed to protecting the security of your personal information and ensuring a level of security appropriate to the risk our data processing presents. Taking into account the costs of implementation, the sensitivity of the data and nature of the data processing, Glossier has implemented organizational, technical and administrative measures to prevent the unauthorized access, destruction, loss, alteration or misuse of personal information.



If you apply to a position in the U.S., Glossier, Inc. will be the data controller of your personal information. If you reside in the United Kingdom or EEA, or apply to a position in the EEA, Phase EU Limited will be the data controller. If you reside in Canada, or apply to a position in Canada, Glossier Canada, Inc. will be the data controller.



If you have questions or concerns regarding this Policy, please contact us using the information provided below.

Glossier, Inc. Phase EU Limited

233 Spring Street 5 New Street Square

East 10th Floor London EC 4A 3TW

New York, NY 10012 United Kingdom

United States

Attn: Legal Attn: Legal
privacy@glossier.com privacy@glossier.com

If European privacy laws apply to you and you have a concern about our processing of personal information that we are not able to resolve, you have the right to lodge a complaint with the relevant data privacy authority (this may be linked to where you reside, work or the place of any alleged infringement). For contact details of the relevant Data Protection Authority, please see http://ec.europa.eu/justice/data-protection/article-29/structure/data-protection-authorities/index_en.htm.



We may change this Policy from time to time. The effective date of this Policy is noted in the header at the top of this page. If we make changes to this Policy that have a material impact on your rights with respect to how we process your personal information, we will post the revised version here and use other methods, as appropriate, to notify you. By continuing the recruitment process after those changes become effective, you agree to be bound by the revised Policy.",Entry level,Contract,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-engineer-at-glossier-inc-1800794511?refId=7e568782-ba53-460d-b022-617b5c632b76&position=6&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
656,Data Scientist,Computer Resource Solutions,"Chicago, IL",Be among the first 25 applicants,6 days ago,"Data Scientist Duration 6+ month contract Location Chicago, IL 60601 Rate 34-44hr

Job Description

This position is responsible for employing advanced analytical techniques to create and drive adoption of data-based products and processes to add business value for internal and external customers. They will use data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights. They will leverage domain expertise and communication skills to identify data-based solutions to customer needs, and present and explain technical findings to non-technical audiences to promote data-driven decision making. They will create analytical processes for automated machine-driven decision making where human decision making is not scalable or feasible.

Qualifications Bachelorrsquos degree and 3 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field OR Actuarial credential or Masterrsquos degree and 2 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field OR Ph.D. in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field OR 6 years experience in an advanced mathematical, statistical, computer science, engineering, physics, economics or related quantitative field.

Strong learning and growth mindset

Customer-focused

Strong interpersonal, verbal and written communication skills.

Must demonstrate proficiency in at least four of the following six areas 1) data analysis and relational-style query languages 2) machine learning andor statistical modeling 3) data visualization 4) a high-level programming language 5) distributed computing 6) understanding of healthcare.

Proficiency with Microsoft applications including Access, Excel, Word and Power Point.",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-computer-resource-solutions-1909196385?refId=7e568782-ba53-460d-b022-617b5c632b76&position=7&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
657,Data Engineer,"ConsumerTrack, Inc.","California, MD",,1 month ago,"Description

ConsumerTrack™ is unique in the digital marketing and media industry - we combine marketing, digital, content and fintech. Our performance based approach increases brand awareness and generates targeted audience engagement on our internal web properties and partner sites.



The ConsumerTrack has big growth plans ahead and is looking for a rockstar Data Engineer experienced in Data warehousing and Python to join our Data Engineering team. The CTI Data Engineering team is responsible for designing and developing the Data lake, enterprise database, data warehouse, reporting solutions, and pipelines for data processing. If you are a critical thinker with a solid track record of developing data solutions and solving complex problems with SQL and Python, we want you to join our team! You will play a vital role in designing and developing our next generation data pipelines and data platform. Join the team and prototype new data product ideas and concepts!",Entry level,Full-time,Information Technology,Marketing and Advertising,https://www.linkedin.com/jobs/view/data-engineer-at-consumertrack-inc-1869056180?refId=7e568782-ba53-460d-b022-617b5c632b76&position=8&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
658,Data Engineer,Ladders,"New York, NY",,2 weeks ago,"Ladders is seeking an experienced Data Engineer to join our engineering-led organization. Come join the team responsible for the flow of data from ingestion to consumption. This role is highly visible and works with a variety of stakeholders. We currently run primarily RDBMS in the cloud but are looking to expand our use of cloud native technologies. The ideal candidate would understand both RDBMS and newer technologies (like RedShift, BigQuery, etc.). We seek someone with a passion for data while being grounded in solid engineering fundamentals (version control, monitoring, automated testing, etc.). The right person will have ample opportunity to make an impact on the organization.


QUALIFICATIONS
BONUSES",Entry level,Full-time,Information Technology,Marketing and Advertising,https://www.linkedin.com/jobs/view/data-engineer-at-ladders-1892962685?refId=7e568782-ba53-460d-b022-617b5c632b76&position=9&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
659,data scientist,"Softpath System, LLC","Wilmington, DE",Be among the first 25 applicants,1 week ago,"Minimum 10+ Yrs of experience
Experience in data mining
Understanding of machine-learning and operations research Knowledge of R, SQL and Python familiarity with Scala, Java or C++ is an asset",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-scientist-at-softpath-system-llc-1901451654?refId=7e568782-ba53-460d-b022-617b5c632b76&position=10&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
660,Senior Data Engineer,1872 Consulting,New York City Metropolitan Area,Be among the first 25 applicants,1 day ago,"SUMMARY
We are a B2B SaaS platform creating an innovative platform for niche and industry-specific knowledge sharing.

Our systems to support these platforms require very strong backend engineers to build sophisticated APIs, queuing and streaming systems, and other core processing technology. We are looking for inquisitive engineers to get in on the ground floor (right now less than 100 of us in the company) and influence the foundation of our technology as we scale our platform and company into the future.",Mid-Senior level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/senior-data-engineer-at-1872-consulting-1888108152?refId=7e568782-ba53-460d-b022-617b5c632b76&position=11&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
661,Technical Client Director - Data & Analytics,Neudesic,"Irvine, CA",Over 200 applicants,3 weeks ago,"About Neudesic
 Passion for technology drives us, but it’s innovation that defines us.  From design to development and support to management, Neudesic offers decades of experience, proven frameworks and a disciplined approach to quickly deliver reliable, quality solutions that help our customers go to market faster.",Director,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/technical-client-director-data-analytics-at-neudesic-1847641064?refId=7e568782-ba53-460d-b022-617b5c632b76&position=12&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
662,"Manager, Software Engineering",Myriad Genetics,"Salt Lake City, UT",,4 weeks ago,"Myriad is a genetic screening and testing company. Our genetic screens provide actionable information, empowering women and their families to make critical and timely healthcare decisions, whether they’re thinking about starting a family or evaluating risk for cancer.
The Data Review Team at Myriad Genetics builds software tools to visualize, classify, and analyze genetic data f rom our multiple products . The tools include: genetic data visualization applications, API gateways and ETL pipelines to manage data across multiple systems and locations, and deep integrations with multiple microservices and applications.
We need an engineering manager to lead a dynamic, cross-functional team working on innovative products helping people make life-changing decisions. It is a highly cross-functional team that works closely with bioinformatics scientists, lab scientists, data engineers, researchers, and many other groups. A genetic background is not necessary , but an interest helps !",Mid-Senior level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/manager-software-engineering-at-myriad-genetics-1870082424?refId=7e568782-ba53-460d-b022-617b5c632b76&position=13&pageNum=26&trk=public_jobs_job-result-card_result-card_full-click
